parameter,group,present,evidence_category,strongest_source_class,weak_for_final_claim,review_priority,current_value,unit,source_name,source_url_or_citation,applies_to,uncertainty_range,source_tables,source_classes,recommended_upgrade,candidate_artifacts,claim_boundary,notes
dispatch_interval,fleet,true,assumption-only,expert assumption,true,medium,5,min,Config dispatch intervals,config.yaml,bus feeder and last-mile schedules,0-15,fleet_assumptions.csv; parameter_sources.csv,expert assumption,"Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions.",data/parameters/fleet_assumptions.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace generic fleet and vehicle-capacity assumptions with agency, planning, literature, or accepted scenario evidence"
feeder_fleet_size,fleet,true,assumption-only,expert assumption,true,medium,23,vehicles,Config multimodal shuttle_fleet_size,config.yaml,multimodal feeder fleet,5-40,fleet_assumptions.csv; parameter_sources.csv,expert assumption,"Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions.",data/parameters/fleet_assumptions.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace generic fleet and vehicle-capacity assumptions with agency, planning, literature, or accepted scenario evidence"
last_mile_fleet_size,fleet,true,assumption-only,expert assumption,true,medium,23,vehicles,Config multimodal lastmile_fleet_size,config.yaml,multimodal last-mile fleet,5-40,fleet_assumptions.csv; parameter_sources.csv,expert assumption,"Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions.",data/parameters/fleet_assumptions.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace generic fleet and vehicle-capacity assumptions with agency, planning, literature, or accepted scenario evidence"
last_mile_vehicle_capacity,fleet,true,assumption-only,expert assumption,true,medium,45,pax/vehicle,Config multimodal lastmile_vehicle_capacity,config.yaml,multimodal last-mile dispatch,20-60,fleet_assumptions.csv,expert assumption,"Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions.",data/parameters/fleet_assumptions.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace generic fleet and vehicle-capacity assumptions with agency, planning, literature, or accepted scenario evidence"
turnaround_time,fleet,true,assumption-only,expert assumption,true,medium,5,min,Config and scenario turnaround defaults,config.yaml and src/scenario.py,vehicle fleet availability,0-30,fleet_assumptions.csv; parameter_sources.csv,expert assumption,"Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions.",data/parameters/fleet_assumptions.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace generic fleet and vehicle-capacity assumptions with agency, planning, literature, or accepted scenario evidence"
transfer_fixed_delay,transfer,true,assumption-only,expert assumption,true,medium,5,min,Config multimodal transfer_time_min,config.yaml,station transfer,0-15,parameter_sources.csv,expert assumption,"Replace or accept transfer delays using station-layout evidence, observed ranges, pedestrian-flow literature, or reviewed scenario assumptions.",data/parameters/parameter_sources.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","support transfer delays with station-layout evidence, observed ranges, or literature rather than generic fixed delays"
transfer_per_passenger_delay,transfer,true,assumption-only,expert assumption,true,medium,0,min/pax,Config multimodal transfer_per_passenger_min,config.yaml,station transfer,0-0.1,parameter_sources.csv,expert assumption,"Replace or accept transfer delays using station-layout evidence, observed ranges, pedestrian-flow literature, or reviewed scenario assumptions.",data/parameters/parameter_sources.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","support transfer delays with station-layout evidence, observed ranges, or literature rather than generic fixed delays"
rail_access_point,rail,true,source-backed,public-data-derived,false,low,S,node,Pilot region station point with Seoul station datasets,data/regions/pilot_region.yaml; data/rail/pilot_station_binding_cache.csv; data/parameters/rail_station_bindings.csv; https://data.seoul.go.kr/dataList/OA-121/S/1/datasetView.do,Olympic Park Station public access point,official line-specific station identifiers cached,rail_assumptions.csv,public-data-derived,"Derive or accept rail headway, travel time, and capacity using cached GTFS, public timetables, shortest-path records, operator sources, or explicit sensitivity-only treatment.",data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; docs/schemas/rail_gtfs_cache_schema.md; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_shortest_path_cache_schema.md,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.",Current evidence category is not weak for final claims under the audit rules.
rail_egress_point,rail,true,source-backed,public-data-derived,false,low,R,node,Pilot region station point with Seoul station datasets,data/regions/pilot_region.yaml; data/rail/pilot_station_binding_cache.csv; data/parameters/rail_station_bindings.csv; https://data.seoul.go.kr/dataList/OA-121/S/1/datasetView.do,Jamsil Station public egress point,official line-specific station identifiers cached,rail_assumptions.csv,public-data-derived,"Derive or accept rail headway, travel time, and capacity using cached GTFS, public timetables, shortest-path records, operator sources, or explicit sensitivity-only treatment.",data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; docs/schemas/rail_gtfs_cache_schema.md; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_shortest_path_cache_schema.md,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.",Current evidence category is not weak for final claims under the audit rules.
bpr_alpha,road,true,source-backed,literature-derived,false,low,0.15,dimensionless,BPR default convention,Bureau of Public Roads 1964 Traffic Assignment Manual,road BPR function,0.10-0.30,parameter_sources.csv,literature-derived,"Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides.",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.",Current evidence category is not weak for final claims under the audit rules.
bpr_beta,road,true,source-backed,literature-derived,false,low,4.0,dimensionless,BPR default convention,Bureau of Public Roads 1964 Traffic Assignment Manual,road BPR function,2.0-6.0,parameter_sources.csv,literature-derived,"Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides.",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.",Current evidence category is not weak for final claims under the audit rules.
